,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
25,0.004416227340698242,0.00012037564937445503,0.005025386810302734,0.00014488577587205774,gini,2,20,5,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 20, 'min_samples_split': 5}",0.8035714285714286,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.7371428571428571,0.08284111109813992,182
26,0.004550647735595703,0.00021592423863559142,0.0051361083984375,0.0002205346133107871,gini,2,20,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 20, 'min_samples_split': 10}",0.8035714285714286,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.7371428571428571,0.08284111109813992,182
27,0.004478549957275391,0.0001284219583747836,0.005166482925415039,0.0002938056208719359,gini,2,20,15,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 20, 'min_samples_split': 15}",0.8035714285714286,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.7371428571428571,0.08284111109813992,182
28,0.0043618202209472655,0.00013072283492880453,0.004896926879882813,0.00010793274118131842,gini,2,20,50,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 20, 'min_samples_split': 50}",0.8035714285714286,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.7371428571428571,0.08284111109813992,182
29,0.004337453842163086,7.48337547125765e-05,0.004904365539550782,0.00012943767276012697,gini,2,20,100,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 20, 'min_samples_split': 100}",0.8035714285714286,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.7371428571428571,0.08284111109813992,182
30,0.004575300216674805,0.00025839085365615656,0.005116844177246093,0.0003794719298341784,gini,2,25,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 25, 'min_samples_split': 2}",0.7321428571428571,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.7228571428571429,0.07603299964431981,294
31,0.004406118392944336,4.5764842172029506e-05,0.00498805046081543,7.202681702535165e-05,gini,2,25,5,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 25, 'min_samples_split': 5}",0.7321428571428571,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.7228571428571429,0.07603299964431981,294
32,0.00442352294921875,0.0002090885320620369,0.004961633682250976,8.430834262228332e-05,gini,2,25,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 25, 'min_samples_split': 10}",0.7321428571428571,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.7228571428571429,0.07603299964431981,294
33,0.004400873184204101,8.632235636717301e-05,0.005030536651611328,0.00016218188621290085,gini,2,25,15,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 25, 'min_samples_split': 15}",0.7321428571428571,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.7228571428571429,0.07603299964431981,294
34,0.004435253143310547,7.63994322133034e-05,0.004950428009033203,0.00014534037257060006,gini,2,25,50,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.7321428571428571,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.7228571428571429,0.07603299964431981,294
35,0.004407548904418945,0.0001478438664965819,0.004982662200927734,0.00015545376963139193,gini,2,25,100,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.7321428571428571,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.7228571428571429,0.07603299964431981,294
36,0.004742240905761719,0.00018089360448571217,0.005246353149414062,0.0004336562339535698,gini,3,2,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7142857142857143,0.8571428571428571,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7448051948051948,0.08273654864508259,124
37,0.004493236541748047,6.556207476442902e-05,0.004890727996826172,0.0001300686784092866,gini,3,2,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7142857142857143,0.8571428571428571,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7448051948051948,0.08273654864508259,124
38,0.004501962661743164,0.00011253160943733051,0.004836225509643554,6.510470605542337e-05,gini,3,2,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7142857142857143,0.8571428571428571,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7448051948051948,0.08273654864508259,124
39,0.004656600952148438,0.0002987014453762836,0.004886341094970703,9.75538672631231e-05,gini,3,2,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 15}",0.7142857142857143,0.8571428571428571,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7448051948051948,0.08273654864508259,124
40,0.004619216918945313,0.00024144985577653403,0.005092716217041016,0.00018546603182333345,gini,3,2,50,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 50}",0.7142857142857143,0.8571428571428571,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7448051948051948,0.08273654864508259,124
41,0.004798412322998047,0.00033358895070626567,0.005455207824707031,0.00046058153558410983,gini,3,2,100,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 100}",0.7678571428571429,0.875,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.759090909090909,0.08618255598816817,46
